,name,alias_1,alias_2,muscle_group,secondary_muscle_group,tertiary_muscle_group,equipment,description,instructions
28,Barbell Shrug,Barbell Shrug,Barbell Shoulder Shrug,Traps,Upper Back,,Barbell,Shrugging shoulders up using a barbell to strengthen the traps.,"1. Hold a barbell with both hands in front of you, 2. Shrug your shoulders up towards your ears, 3. Lower your shoulders back down, 4. Repeat."
29,Barbell Skullcrusher,Barbell Lying Tricep Extension,Barbell Skullcrusher,Triceps,Shoulders,Rotator Cuff,Barbell,Barbell tricep exercise lowering weight toward forehead and pressing up.,"1. Lie on a bench with a barbell in each hand, palms facing each other, 2. Lower the barbell to your forehead by bending your elbows, 3. Extend your arms back up to the starting position, 4. Repeat."
30,Barbell Bent Over Row,Barbell Bent Over Row,BB Row (Bent Over),Upper Back,Lats,Biceps,Barbell,Bend at the hips and pull a barbell toward your lower chest for back strength.,"1. Stand with your feet shoulder-width apart, hold the barbell with both hands, 2. Bend your knees slightly and hinge at the hips, keeping your back straight, 3. Row the barbell towards your torso, squeezing your shoulder blades together, 4. Slowly return to the starting position, 5. Repeat."
31,Barbell Inverted Row,BB Rows (Inverted),,Upper Back,Lats,Biceps,Barbell,Hang under a barbell and pull your chest up toward it for back strength.,"1. Set a barbell in a rack at waist height, 2. Lie underneath the bar and grab it with an overhand grip, 3. Hang with your arms fully extended, keeping your body in a straight line, 4. Pull your chest toward the bar, squeezing your shoulder blades together, 5. Slowly lower yourself back down, 6. Repeat."
32,Barbell Bent Over Row (Reverse-Grip),Underhand Bent Over Row,Reverse Grip Barbell Row,Upper Back,,,Barbell,A barbell row using an underhand grip to work the back and biceps.,"1. Stand with your feet shoulder-width apart, holding the barbell with an underhand grip, 2. Bend at the hips and knees, keeping your back straight, 3. Row the barbell toward your torso, squeezing your shoulder blades together, 4. Slowly return to the starting position, 5. Repeat."
33,Barbell Squat (Overhead),Overhead Squat,Barbell Overhead Squat,,,,Barbell,A squat movement with a barbell held overhead to build total-body strength and stability.,"1. Stand with your feet shoulder-width apart and a barbell across your upper back, 2. Press the barbell overhead, 3. Squat down while keeping the barbell overhead, 4. Push through your heels to stand back up, 5. Repeat."
34,Snatch,Barbell Snatch,Full Snatch,,,,Barbell,"A single, quick lift moving a barbell from the ground to overhead in one motion.","1. Stand with your feet shoulder-width apart, 2. Grab the barbell with a wide grip, 3. Clean the barbell to your chest, 4. In one explosive motion, lift the barbell overhead, 5. Lower the barbell back down with control, 6. Repeat."
35,Clean and Jerk,Barbell Clean and Jerk,Power Clean to Jerk,,,,Barbell,"A two-part lift where the barbell is moved to the shoulders, then pressed overhead.","1. Stand with your feet shoulder-width apart, 2. Grab the barbell with a wide grip, 3. Clean the barbell to your chest, 4. Jerk the barbell overhead, 5. Lower the barbell with control, 6. Repeat."
36,Power Snatch,,,,,,Barbell,"A snatch done without dropping into a deep squat, focusing on speed and power.","1. Stand with your feet shoulder-width apart, 2. Grab the barbell with a wide grip, 3. Clean the barbell to your chest, 4. In one explosive motion, lift the barbell overhead without a full squat, 5. Lower the barbell back down with control, 6. Repeat."
37,Hang Snatch,Mid-Thigh Snatch,,,,,Barbell,A snatch variation starting from a standing position with the bar at the thighs.,"1. Stand with your feet shoulder-width apart, 2. Hold the barbell at hip height, 3. Clean the barbell to your chest, 4. In one explosive motion, lift the barbell overhead from the hang position, 5. Lower the barbell back down with control, 6. Repeat."
38,Hang Power Snatch,Power Hang Snatch,,,,,Barbell,"A fast, high catch version of the hang snatch without deep squatting.","1. Stand with your feet shoulder-width apart, 2. Hold the barbell at hip height, 3. Clean the barbell to your chest, 4. In one explosive motion, lift the barbell overhead without a full squat, 5. Lower the barbell back down with control, 6. Repeat."
39,Block Snatch,Elevated Snatch,,,,,Barbell,A snatch performed with the bar starting on raised blocks instead of the floor.,"1. Set the barbell on blocks just above the knees, 2. Perform a snatch by pulling the barbell overhead in one explosive motion, 3. Ensure you lock out your arms and stand tall, 4. Lower the barbell back down with control, 5. Repeat."
40,Snatch from Deficit,Deficit Snatch,,,,,Barbell,A snatch where you start standing on a platform to increase range and pulling strength.,"1. Stand on a platform to increase the range of motion, 2. Grab the barbell with a wide grip, 3. Perform the snatch from the lower position, ensuring good form, 4. Pull the barbell overhead with explosive force, 5. Lower the barbell back down with control, 6. Repeat."
41,Tall Snatch,High Pull Snatch,,,,,Barbell,A technique drill focusing on quickly moving the bar overhead from a tall standing position.,"1. Stand tall with the barbell at the hips, 2. Perform a snatch by explosively pulling the barbell overhead, 3. Ensure you maintain a vertical path and lock out your arms at the top, 4. Return the barbell to the ground with control, 5. Repeat."
42,Snatch (Pause),Pause Snatch at Knee,Tempo Snatch,,,,Barbell,A snatch variation with deliberate pauses during the pull to improve strength and control.,"1. Perform a snatch but pause for a brief moment at the knee or mid-thigh position before continuing the lift, 2. Continue pulling the barbell overhead, 3. Ensure you maintain proper form throughout the pause, 4. Return the barbell to the ground, 5. Repeat."
43,Snatch (Pull),,,,,,Barbell,Practicing just the pulling part of the snatch without lifting the bar overhead.,"1. Begin by standing with your feet shoulder-width apart, 2. Start the pull from the floor by extending your hips and knees, 3. Focus on driving the barbell up without pulling it too early, 4. Lower the barbell back to the ground, 5. Repeat."
44,Snatch (High Pull),,,,,,Barbell,A pull movement lifting the bar explosively to chest height without going overhead.,"1. Perform the snatch pull by extending your legs and hips explosively while pulling the barbell to chest height, 2. Squeeze your traps and shoulders at the top, 3. Lower the barbell back down with control, 4. Repeat."
45,Snatch Deadlift,Snatch Grip Deadlift,,,,,Barbell,A deadlift using a wide snatch grip to build pulling strength for the snatch.,"1. Start with the barbell on the ground, 2. Perform a deadlift motion to lift the barbell while maintaining a proper hip and back position, 3. Focus on engaging the hamstrings and glutes, 4. Lower the barbell back to the ground with control, 5. Repeat."
46,Snatch Grip Push Press,Wide Grip Push Press,,,,,Barbell,Pressing a bar overhead with a wide grip using some help from the legs.,"1. Set the barbell on your shoulders with a snatch grip, 2. Dip your knees and drive the barbell overhead with a powerful leg extension, 3. Lock out your arms at the top, 4. Lower the barbell back down, 5. Repeat."
47,Power Clean,,,,,,Barbell,Quickly lifting a bar from the ground to the shoulders without a deep squat.,"1. Stand with your feet shoulder-width apart, 2. Grab the barbell with an overhand grip, 3. Pull the barbell explosively from the ground to your shoulders, 4. Drop underneath the bar to catch it in a partial squat, 5. Stand tall with the barbell on your shoulders, 6. Lower the barbell to the ground, 7. Repeat."
48,Hang Clean,,,,,,Barbell,A clean starting from a standing position with the bar hanging at the thighs.,"1. Begin with the barbell at thigh height (hang position), 2. Perform the clean by pulling the barbell explosively from the hang to your shoulders, 3. Drop underneath the bar to catch it in a squat, 4. Stand tall and lower the barbell, 5. Repeat."
49,Hang Power Clean,,,,,,Barbell,"A fast, high catch version of the hang clean without a full squat.","1. Similar to the hang clean, but do not drop into a full squat; catch the barbell in a quarter squat, 2. Stand tall after catching the barbell, 3. Lower the barbell, 4. Repeat."
50,Block Clean,Clean from Blocks,,,,,Barbell,A clean movement starting from blocks to shorten the pull distance.,"1. Set the barbell on blocks just above your knees, 2. Pull the barbell explosively from the blocks to your shoulders, 3. Drop underneath the bar to catch it, 4. Stand tall, 5. Lower the barbell, 6. Repeat."
51,Clean from Deficit,Deficit Clean,Deep Start Clean,,,,Barbell,A clean starting from an elevated platform to train pulling strength.,"1. Stand on a platform to increase the range of motion, 2. Perform a clean from the floor, focusing on pulling the barbell explosively to your shoulders, 3. Drop underneath the bar to catch it in a squat, 4. Stand tall, 5. Lower the barbell, 6. Repeat."
52,Clean Pull,,,,,,Barbell,Practicing just the pull phase of the clean without catching the bar.,"1. Start with the barbell on the ground, 2. Perform an explosive hip extension to pull the barbell up to chest height, 3. Focus on engaging the hips and traps, 4. Lower the barbell back down, 5. Repeat."
53,Clean High Pull,,,,,,Barbell,"A clean pull with extra height, pulling the bar up toward the chest.","1. Similar to the clean pull but focus on pulling the barbell higher (to around chest height), 2. Squeeze your traps at the top, 3. Lower the barbell with control, 4. Repeat."
54,Muscle Clean,Barbell Muscle Clean,,,,,Barbell,A clean done slowly without using much leg drive or a catch.,"1. Start by gripping the barbell at shoulder width, 2. Perform a clean by explosively pulling the barbell up, 3. Use your arms to guide the bar to your shoulders, 4. Catch the bar in a high front squat position, 5. Stand tall, 6. Lower the barbell, 7. Repeat."
55,Pause Clean,Clean with Pause at Knee,,,,,Barbell,A clean with a deliberate pause during the pull to build control and strength.,"1. Perform a clean but pause at a specific point, such as at the knees or mid-thigh, before completing the movement, 2. Perform the rest of the clean, 3. Lower the barbell back down, 4. Repeat."
56,Tall Clean,,,,,,Barbell,A clean focusing on dropping under the bar from a tall standing position.,"1. Stand tall and hold the barbell at your hips, 2. Perform the clean by pulling the barbell overhead, 3. Focus on explosive movement, 4. Lower the barbell, 5. Repeat."
57,Push Jerk,Power Jerk,,,,,Barbell,"A dip and drive movement pressing a bar overhead, using the legs to help.","1. Stand with the barbell on your shoulders, 2. Dip your knees slightly, 3. Explosively drive the barbell overhead, 4. Lock out your arms, 5. Lower the barbell, 6. Repeat."
58,Split Jerk,Jerk with Split Landing,,,,,Barbell,A jerk where the legs split into a lunge position while the bar is locked overhead.,"1. Stand with the barbell on your shoulders, 2. Dip your knees slightly, 3. Drive the barbell overhead, 4. Split your legs into a lunge position, 5. Lock out your arms, 6. Return to a standing position, 7. Lower the barbell, 8. Repeat."
59,Power Jerk,,,,,,Barbell,A jerk catching the bar overhead with a shallow knee bend instead of a deep split.,"1. Stand with the barbell on your shoulders, 2. Dip your knees and explosively drive the barbell overhead, 3. Catch the bar with your legs slightly bent (no full split), 4. Stand tall and lower the barbell, 5. Repeat."
60,Jerk with Block,Block Jerk,Jerk from Platform,,,,Barbell,Practicing the jerk using blocks to catch the bar after locking it overhead.,"1. Perform a jerk (split, power, or push) with the barbell resting on blocks, 2. Focus on explosive movement, 3. Catch the bar overhead with locked arms, 4. Lower the barbell, 5. Repeat."
61,Jerk from Rack,Rack Jerk,Jerk Starting from Rack,,,,Barbell,Performing a jerk starting with the bar already positioned on a squat rack.,"1. Set the barbell on a rack at shoulder height, 2. Perform a jerk (push, split, or power) from this position, 3. Lock out your arms overhead, 4. Lower the barbell, 5. Repeat."
62,Tall Jerk,No Dip Jerk,,,,,Barbell,A drill focusing on dropping under the bar quickly without a big leg drive.,"1. Perform a jerk from a standing position, 2. Focus on driving the barbell overhead explosively, 3. Lock out your arms and lower the barbell, 4. Repeat."
63,Pause Jerk,Paused Dip Jerk,,,,,Barbell,A jerk variation with a pause before driving the bar up to improve control.,"1. Perform a jerk, but pause at the dip position for a brief moment before continuing the movement, 2. Drive the barbell overhead and lock your arms, 3. Lower the barbell, 4. Repeat."
64,Jerk Balance,Split Balance Drill,Controlled Split Jerk,,,,Barbell,A drill helping you practice stepping and catching during a split jerk.,"1. Start with the barbell on your shoulders, 2. Dip and drive the barbell overhead, 3. As you catch the bar, move into a lunge position to stabilize the weight, 4. Return to standing, 5. Lower the barbell, 6. Repeat."
65,Jerk Recovery,,,,,,Barbell,Practicing standing back up from the lunge position after catching a jerk.,"1. Perform a jerk (split or power), 2. Catch the bar overhead, 3. Recover by bringing your legs together, 4. Lower the barbell, 5. Repeat."
66,Snatch Drop,,,,,,Barbell,A drill practicing quickly dropping under the bar into an overhead squat.,"1. Hold the barbell overhead, 2. Drop into a squat position with control, 3. Stand back up, 4. Lower the barbell back down, 5. Repeat."
67,Jerk Drop,Drop Jerk,,,,,Barbell,A drill practicing dropping into the split jerk position under a bar without pressing.,"1. Hold the barbell overhead, 2. Drop under the bar into a split stance with control, 3. Recover, 4. Lower the barbell, 5. Repeat."
68,Snatch Extension,,,,,,Barbell,Finishing the pull of a snatch explosively without actually catching the bar.,"1. Perform a snatch pull but extend the barbell higher, 2. Focus on engaging the traps and shoulders, 3. Lower the barbell, 4. Repeat."
69,Clean Extension,,,,,,Barbell,Finishing the pull of a clean with full extension but without catching the bar.,"1. Similar to the snatch extension but with a clean grip, 2. Pull the barbell higher, 3. Engage your traps and shoulders, 4. Lower the barbell, 5. Repeat."
70,Barbell Overhead Hold,,,,,,Barbell,Holding a bar or weight overhead to build shoulder and core stability.,"1. Hold a barbell overhead with arms fully extended, 2. Maintain a stable core and locked arms, 3. Hold for a set amount of time, 4. Lower the barbell with control."
71,Clean/Snatch Pull to Knee,,,,,,Barbell,Pulling the bar up to the knees and pausing to train position and strength.,"1. Perform a clean or snatch pull, but stop when the barbell reaches your knees, 2. Focus on proper extension and posture, 3. Lower the barbell back down, 4. Repeat."
72,Snatch with Slow Pull,,,,,,Barbell,Performing the first part of the snatch slowly to build control and positioning.,"1. Perform the snatch but emphasize the initial pull, moving the bar slowly from the ground to knee height, 2. Afterward, perform the rest of the snatch with explosive force, 3. Lower the barbell, 4. Repeat."
73,Barbell Abs Rollout,BB Ab Rollout,Barbell Core Rollout,Abs,Shouders,,Barbell,An advanced core exercise focusing on the rectus abdominis and deep stabilizers through dynamic extension.,"1. Load a barbell with plates and kneel behind it, 2. Grip the bar and roll it forward, 3. Extend your body while keeping core tight, 4. Roll back to start."
74,Barbell Hack Squat,Rear Barbell Squat,BB Hack Squat,Legs,Quads,,Barbell,Emphasizes quadriceps development with a rear-loaded squat variation to reduce spinal load.,"1. Stand with a barbell behind your legs, 2. Grip the bar and lower into a squat, 3. Drive up to standing while keeping bar close, 4. Repeat the motion."
75,Barbell Shouler Press (Incline),Incline Barbell Shoulder Press,Incline BB Overhead Press,Shoulders,Triceps,,Barbell,"Strengthens the anterior deltoids, upper chest, and triceps from a seated incline angle.","1. Sit on an incline bench and grip the barbell, 2. Press the bar upward over your head, 3. Lower it slowly to your upper chest, 4. Repeat with control."
76,Barbell Shrug Behind the Back,Behind the Back BB Shrugs,Barbell Rear Shrug,Traps,Forearms,,Barbell,Targets the upper traps and improves posture through vertical scapular elevation.,"1. Hold a barbell behind your back, 2. Shrug your shoulders upward, 3. Squeeze at the top, 4. Lower slowly."
77,Barbell Walking Lunge,Walking Lunges with Barbell,BB Walking Lunge,Quadriceps,Glutes,,Barbell,"Builds unilateral strength and stability in quads, glutes, and hamstrings with added load.","1. Place a barbell across your upper back, 2. Step forward into a lunge, 3. Push off and bring the rear leg forward into the next lunge, 4. Continue walking with controlled lunges."
78,Barbell Bench Press (Chains),BB Bench Press with Chains,Chain Bench Press,Chest,Triceps,,Barbell,"Builds chest, triceps, and shoulder strength with accommodating resistance to target lockout.","1. Load a barbell with chains, 2. Lie on the bench and grip the bar, 3. Lower to your chest and press up, 4. Control each rep."
79,Barbell Bicep Curl (Close Grip),Close Grip BB Curls,Narrow Barbell Curl,Biceps,Forearms,,Barbell,Focuses on the outer head of the biceps brachii to build peak and overall arm muscle.,"1. Hold a barbell with a close underhand grip, 2. Keep elbows close to your torso, 3. Curl the barbell up by contracting your biceps, 4. Lower it slowly to the starting position, 5. Repeat."
80,Barbell Drag Curl,Barbell Reverse Curls,Barbell Pull Curls,Biceps,Forearms,,Barbell,Works the biceps brachii with a backward pulling motion to emphasize the peak of the bicep and overall arm development.,"1. Hold a barbell in front of your thighs, 2. Pull it up along your body by dragging elbows back, 3. Squeeze biceps at the top, 4. Lower slowly, 5. Repeat."
81,Barbell Good Morning (Off Pins),Pin-Supported Good Morning,,Hamstrings,Lower Back,,Barbell,"Strengthens the hamstrings, glutes, and lower back, focusing on hip hinge mechanics and posterior chain development.","1. Set a barbell on safety pins at shoulder height, 2. Step under and unrack, 3. Bend at the hips while keeping back straight, 4. Lower torso forward, 5. Return to standing."
82,Barbell Rack Pull,Partial Deadlift,,Legs,Lower Back,,Barbell,"Targets the lower back, glutes, and traps, focusing on the lockout phase of a deadlift from an elevated position.","1. Stand in front of a barbell set just below the knees for Barbell Rack Pulls, 2. Grip the bar with hands shoulder-width apart, 3. Engage your core and pull the bar up until standing straight, 4. Lower back down to just below the knees, 5. Repeat."
83,Bench Jump,Box Jumps (Bench),Bench Plyo Jumps,Quadriceps,Glutes,,Bench,"A lower-body plyometric exercise targeting glutes, quads, and calves to enhance explosive power.","1. Stand in front of a sturdy bench, 2. Jump up with both feet, 3. Land softly on the bench, 4. Step down and repeat."
84,Bodyweight Tricep Press (Bench),Bench Triceps Extension,Bodyweight Skull Crushers,Triceps,Chest,,Bench,Strengthens the triceps and shoulders by lowering the body from an elevated surface.,"1. Sit on a bench with hands behind you, 2. Slide forward off the edge, 3. Lower your body by bending elbows, 4. Push back up."
85,Lying Leg Raise,Lateral Leg Raises,Floor Side Leg Raises,Abductors,Glutes,,Bodyweight,"Engage the lower abs by lifting legs while lying flat on your back, keeping them straight.","1. Lie on your back with legs straight, 2. Raise legs to 90 degrees, 3. Lower back to starting position, 4. Repeat."
86,Fire Hydrant,"Quadruped Hip Abduction,",Side Hip Openers,Abductors,Glutes,,Bodyweight,Activate the glutes and hips by lifting one knee sideways while keeping hands and knees on the ground.,"1. Start in tabletop position, 2. Bend knee to 90 degrees, 3. Raise leg out to the side while keeping knee bent, 4. Lower and repeat."
87,Bodyweight Lateral Leg Raise,Bodyweight Lateral Leg Raises,Standing Side Leg Raises,Abductors,Glutes,,Bodyweight,Lift one leg sideways while standing to target the hip abductors and glutes without any equipment.,"1. Stand upright, 2. Shift weight onto one leg, 3. Lift the other leg to the side, 4. Lower and repeat."
88,Sit Up,Standard Sit Ups,Full Sit Ups,Abs,,,Bodyweight,Strengthen the core by lying on your back and lifting your upper body towards your knees.,"1. Lie on your back with knees bent, 2. Place hands behind head or on chest, 3. Engage core and lift torso, 4. Lower back and repeat."
89,Crunch,Abdominal Crunches,Floor Crunches,Abs,,,Bodyweight,Focus on the upper abdominal muscles by curling the torso towards the knees while lying on your back.,"1. Lie on your back with knees bent, 2. Place hands behind head or on chest, 3. Lift shoulders off the floor, 4. Lower back down and repeat."
90,Bicycle Crunch,Elbow-to-Knee Crunches,,Abs,,,Bodyweight,Perform a twisting crunch while alternating bringing opposite elbows and knees together in a cycling motion.,"1. Lie on your back with hands behind head, 2. Bring one knee toward chest, 3. Twist torso to bring opposite elbow to knee, 4. Alternate sides."
91,Plank,Forearm Plank,Static Plank,Abs,,,Bodyweight,Engage the core and maintain a straight line from head to heels while holding a forearm plank position.,"1. Start in a forearm plank position, 2. Engage core and keep body in a straight line, 3. Hold for the desired time."
